simulation_id,final_value
656,1598835.3894841864
657,2847835.8300235616
658,8161373.714221822
659,2837966.4979836075
660,1175984.047567711
661,2593865.919231127
662,11503337.438736713
663,2975408.6881352225
664,1574840.5799988382
665,1174563.8933018935
666,12995853.373502878
667,3056250.5563562764
668,4388727.28552633
669,3573787.8409922887
670,2103665.8912877548
671,1039011.8453024033
672,4464901.178880247
673,7201816.710261921
674,1744219.8771111302
675,3742130.905350889
676,2536127.7721633636
677,2293843.965335039
678,6743205.792245029
679,1241182.4890925996
680,2077877.75954029
681,4759199.09744216
682,1878750.3626771853
683,3895915.9313677684
684,4311182.573273092
685,5148991.427771903
686,2765999.6120555378
687,14322815.509245139
688,4834656.287300895
689,6449278.417075251
690,2429989.6420120588
691,4695518.954202748
692,947231.8713117769
693,10457346.197357873
694,3389352.061198505
695,3811088.729681817
696,3095927.805211328
697,2955779.1997567327
698,2845233.091408349
699,1299985.5302432673
700,1554978.6665407384
701,2274149.104773176
702,2523926.4160332517
703,1995470.342921804
704,1940779.5257069457
705,8432181.183020633
706,4350786.988931297
707,1692223.3848106135
708,3139707.913733195
709,1910459.7174779528
710,7378412.819232292
711,2443178.251138536
712,5794951.224804705
713,2075123.874007933
714,1444406.496138488
715,2523945.838133265
716,1459442.6906163283
717,2801953.831661692
718,5545276.909060763
719,4143307.5186110185
720,4360264.352930692
721,6195470.266085105
722,964169.7610662502
723,2160904.6733574807
724,6345863.870682785
725,8434643.045287276
726,4693059.800485593
727,1566279.9303081098
728,1689437.2075591723
729,2724538.7326927655
730,4257251.147692807
731,2120617.7147279903
732,2250572.55641342
733,3436503.378333956
734,4615902.084391961
735,7230998.886946083
736,3657981.0700862
737,2626443.400521488
738,1549640.1644659531
739,2222555.920858099
740,4090090.4847799116
741,5262556.7647204315
742,4163631.074138607
743,2014466.7989558803
744,9261055.02958231
745,10901672.23907588
746,3070904.770561371
747,8493304.184323864
748,4028808.976851818
749,2588236.5209919005
750,3320325.4687458547
751,7319275.021359179
752,2819989.0999764786
753,2449493.504561297
754,2835113.548659401
755,4601907.197896707
756,1455930.0525200923
757,1501865.4317626546
758,1907473.2423581646
759,3273117.0900774226
760,2031367.7121738414
761,5045151.638810595
762,3012449.069177886
763,1796580.987739996
764,6311587.302507056
765,767212.2668021632
766,5225030.601200674
767,2394091.015991461
768,2275611.756147785
769,2916958.2284992817
770,2893565.913048229
771,2110439.3885661173
772,2036047.5105353433
773,4487253.631128407
774,2980640.282296457
775,719800.1763275485
776,4211113.048735169
777,3324793.7705053035
778,2280418.916775976
779,4633253.5029586665
780,2064116.0203106084
781,1349484.1788076262
782,2450808.892014711
783,8804320.885389403
784,1562779.8213594775
785,3761341.733352123
786,3583936.017691766
787,2801714.5738295005
788,2793335.5469832
789,927970.345979164
790,3047891.1956010787
791,4291333.383809336
792,2344689.9772088313
793,3842883.10482196
794,3833440.0971871736
795,2541491.8861142197
796,815514.7223927652
797,1436016.020089859
798,2680762.793765466
799,1626633.9154837679
800,1732689.672789677
801,1574144.484464403
802,1343830.57795024
803,1259689.313724421
804,3365684.5713219014
805,5591397.264298944
806,1565757.3016385036
807,2489595.5484952927
808,2569458.1755192913
809,3848900.5019025174
810,4556749.9106019875
811,2376691.1391994646
812,2844786.1048848154
813,4775416.357122934
814,4267179.856630929
815,6820409.2600809345
816,1204632.421394455
817,2472468.1454906706
818,5075839.730368133
819,3165106.9650374753
820,6001547.007247895
821,4166062.3190166075
822,1098960.1875966596
823,1460195.9060433954
824,1862410.0653515337
825,2735900.480613104
826,6008836.674403268
827,9446075.720602578
828,4783346.299897443
829,2707527.6088103666
830,5987820.164702358
831,1655106.0186663056
832,4063118.2442952595
833,5195515.059730079
834,1877424.4165391542
835,1930387.2936719572
836,4643757.169319621
837,2705407.883400684
838,3902231.9496363555
839,4290658.01512975
840,980589.6197974655
841,3563185.2283334993
842,3778863.5644221003
843,1837705.97670158
844,3890162.7464723806
845,1379972.0999055111
846,4086534.4946803064
847,4444301.007873866
848,2248087.3622294916
849,3625786.148158238
850,1647649.007164168
851,2756568.2967917905
852,6775843.852292631
853,2201349.614130159
854,4402228.441547074
855,1747882.9040280043
856,2134884.250141316
857,3819738.7232230813
858,3515519.4878818905
859,2002233.8877884075
860,1526377.5477083013
861,3255539.8462237483
862,3099545.2494642045
863,1890665.779587157
864,860338.6160991765
865,1929515.6350889734
866,1043044.7598988799
867,10252288.66470743
868,3735464.207945302
869,3334673.0291022686
870,3030054.2151533957
871,3065756.067465127
872,1634073.5908668756
873,4993502.987713801
874,6700078.893485174
875,5267861.502893645
876,4177457.333337865
877,1996575.277069297
878,5074251.633639277
879,3790050.2677210397
880,5539345.878799887
881,1830905.7334297574
882,3263755.4485610467
883,2469023.2560140314
884,6222699.064360083
885,4345874.594167342
886,3582320.3628125596
887,3135077.481687374
888,3986751.7909334693
889,1194515.9831785574
890,5222648.043980551
891,4197716.902154475
892,2435364.201980163
893,2889584.8863047087
894,498382.42424529523
895,2528552.230490643
896,1796554.5260155823
897,2016954.5690336223
898,5479839.178336468
899,2688150.7839762196
900,2876799.564131818
901,3837987.44257583
902,2583058.7936724573
903,3505332.9681491703
904,1847100.9378288826
905,4759441.11166167
906,1925772.2450161949
907,2860925.362577761
908,1972930.195643554
909,1395803.8875335646
910,4102473.7239528834
911,3433496.660163246
912,4257100.519000894
913,1434235.240786875
914,1718750.212085696
915,4323748.920324061
916,2601670.7804636443
917,1333648.4298969768
918,1672730.2655052524
919,850072.9028428413
920,6638980.673567377
921,3575874.38411997
922,2305971.8588467916
923,2550461.455477342
924,4525279.884361731
925,3806192.947608048
926,1007648.5352131512
927,2349319.529660413
928,4556395.324765852
929,3849192.594633964
930,3091283.3877839493
931,2584040.2269499036
932,6941827.068205739
933,3919194.005968405
934,5335023.058023318
935,3061156.300800657
936,1570137.3697842807
937,4663392.5364981415
938,2430340.2722973325
939,8522710.851573592
940,3605337.4098444283
941,2995878.2863192926
942,2985989.1515878453
943,1460778.2632187787
944,4204971.3320299955
945,1775702.905267291
946,2406203.795123377
947,11202780.710714433
948,2416019.7355532018
949,986101.3563283511
950,4687823.354785684
951,3776278.509175292
952,5150405.675117046
953,1782374.058932651
954,3086274.347160545
955,2025909.6182540585
956,1053676.127181077
957,987111.4628693694
958,4397294.626276102
959,4312357.9143878175
960,2295621.3232284673
961,4385008.128690351
962,2108207.89142707
963,1987220.3446525438
964,895729.9577936012
965,6246314.661097873
966,5816664.788059402
967,4728438.880832269
968,2001396.2475670523
969,2180174.7214031187
970,1895361.5502310933
971,4777223.549719264
972,1720271.2466040954
973,1821119.6917570846
974,3471629.7224974805
975,2921351.1471369546
976,2570964.1555105946
977,6626437.105775372
978,3597162.062647081
979,5068849.524628771
980,2594027.0971407187
981,2219160.4251461127
982,2271208.0281485217
983,1948231.7055574984
984,4486790.048820693
985,5921347.505079638
986,1690731.1683815992
987,2537925.9270829353
988,1440001.9271089432
989,7835154.229432604
990,3126182.465432717
991,2594112.6145660523
992,4886121.541593456
993,2308468.419581616
994,1435257.7935988118
995,5061662.271531756
996,4362001.165289588
997,3588429.056345271
998,865905.9961442853
999,1910518.8777256843
1000,946246.5825170722
